Household_ID,State,No_of_Residents,No_of_Appliances,AC_Units,Has_Solar,Monthly_Income,Region,Year,Monthly_Electricity_kWh
1,West Bengal,8,26,0,0,38247,Urban,2015,479.47
2,Gujarat,9,6,0,0,118679,Rural,2018,361.22
3,Uttar Pradesh,5,8,0,0,144381,Urban,2016,177.11
4,West Bengal,3,17,0,0,17237,Urban,2023,306.52
5,Karnataka,6,17,2,0,20967,Rural,2017,610.7
6,Punjab,9,27,1,0,36512,Rural,2023,676.77
7,Uttar Pradesh,7,26,1,0,77214,Rural,2019,694.0
8,Uttar Pradesh,4,29,1,1,28991,Urban,2016,475.79
9,West Bengal,4,27,1,0,73355,Rural,2018,567.33
10,Tamil Nadu,4,21,2,0,28500,Urban,2020,692.0
11,Karnataka,8,10,2,0,80832,Rural,2022,529.47
12,West Bengal,7,15,2,1,127967,Urban,2017,542.32
13,Karnataka,2,23,0,0,96558,Urban,2023,428.49
14,Karnataka,7,20,1,0,101995,Urban,2018,578.44
15,Punjab,2,12,2,0,147847,Urban,2021,549.79
16,Uttar Pradesh,4,5,2,0,96930,Rural,2017,467.84
17,Gujarat,5,14,2,1,71320,Urban,2016,587.25
18,Punjab,5,6,1,0,77788,Urban,2023,490.53
19,Punjab,9,23,1,0,34597,Urban,2023,676.63
20,Karnataka,2,18,0,0,25758,Urban,2020,259.47
21,Delhi,4,7,0,0,85778,Urban,2018,189.07
22,Uttar Pradesh,7,27,0,0,117843,Urban,2016,605.62
23,Tamil Nadu,5,28,1,0,111998,Rural,2021,560.09
24,Punjab,2,13,0,0,24091,Urban,2018,314.42
25,Gujarat,9,27,0,1,102278,Rural,2017,452.86
26,Delhi,7,12,2,0,103218,Urban,2016,729.73
27,Delhi,4,15,1,1,26197,Urban,2016,319.42
28,Tamil Nadu,3,19,0,0,27725,Urban,2021,249.21
29,Punjab,4,10,0,0,110070,Rural,2022,188.94
30,Gujarat,8,6,1,0,89342,Urban,2018,518.44
31,Uttar Pradesh,4,5,0,1,38490,Urban,2022,133.65
32,Maharashtra,9,7,1,0,106321,Rural,2017,474.9
33,Gujarat,7,29,1,0,19783,Rural,2021,674.94
34,Tamil Nadu,9,27,1,0,144441,Urban,2022,744.07
35,Delhi,7,22,0,1,90679,Urban,2019,375.03
36,Uttar Pradesh,6,18,0,0,121791,Urban,2020,446.44
37,Gujarat,6,21,0,0,81057,Urban,2017,471.75
38,Maharashtra,7,6,1,0,129147,Urban,2018,518.33
39,Maharashtra,7,23,0,0,135029,Urban,2017,459.12
40,Karnataka,3,26,2,0,138565,Urban,2015,736.45
41,Karnataka,3,13,1,0,94804,Rural,2016,425.28
42,West Bengal,4,12,0,0,82156,Urban,2021,255.38
43,Tamil Nadu,9,14,1,0,43585,Urban,2017,656.06
44,Punjab,8,13,0,0,102921,Urban,2015,379.53
45,Gujarat,9,12,1,1,118047,Urban,2019,530.41
46,Gujarat,5,11,2,0,38607,Urban,2015,648.61
47,Punjab,9,26,1,0,66954,Rural,2015,613.16
48,West Bengal,8,28,1,0,90501,Rural,2020,656.19
49,Delhi,3,10,1,0,41442,Urban,2023,304.18
50,Delhi,4,6,0,0,27451,Urban,2015,226.69
51,West Bengal,8,13,1,0,39465,Urban,2021,591.51
52,Delhi,9,13,0,0,35254,Urban,2016,483.08
53,Karnataka,2,23,1,0,17536,Urban,2022,446.12
54,Gujarat,6,13,0,0,103675,Urban,2021,411.78
55,West Bengal,8,6,0,0,110637,Urban,2016,460.91
56,Gujarat,5,23,0,0,66488,Urban,2023,405.24
57,Punjab,4,20,0,0,31841,Urban,2021,440.29
58,Maharashtra,8,26,1,0,79308,Rural,2016,636.72
59,Karnataka,7,18,1,0,44100,Rural,2016,624.1
60,Uttar Pradesh,9,24,0,0,88922,Rural,2019,588.41
61,Karnataka,2,28,0,0,45330,Urban,2019,377.75
62,West Bengal,6,5,0,1,60875,Urban,2023,164.61
63,Uttar Pradesh,2,17,2,0,128017,Rural,2015,542.97
64,Maharashtra,4,26,2,0,20723,Urban,2019,717.61
65,West Bengal,9,6,1,0,129845,Urban,2017,573.51
66,Tamil Nadu,3,26,2,0,38194,Urban,2017,708.85
67,Gujarat,6,18,2,0,102465,Rural,2019,608.49
68,Maharashtra,9,5,0,0,38358,Urban,2016,321.98
69,Gujarat,2,19,0,0,90921,Rural,2018,219.28
70,Delhi,3,22,2,0,99335,Urban,2018,697.2
71,Tamil Nadu,5,13,2,0,16616,Urban,2018,624.72
72,Tamil Nadu,4,26,2,0,22062,Rural,2016,642.04
73,Maharashtra,4,12,0,0,107962,Urban,2017,368.23
74,Tamil Nadu,6,11,1,0,53296,Urban,2017,529.68
75,Uttar Pradesh,2,13,2,0,128318,Urban,2022,542.33
76,Tamil Nadu,5,13,1,0,101276,Urban,2022,422.48
77,Gujarat,7,15,1,0,32051,Urban,2015,529.91
78,Gujarat,6,8,2,0,121100,Urban,2018,511.87
79,West Bengal,9,11,1,0,86529,Rural,2021,542.74
80,Gujarat,7,25,0,0,110477,Urban,2015,488.58
81,West Bengal,6,11,2,0,40463,Rural,2016,613.73
82,Gujarat,2,8,2,0,36929,Rural,2019,548.87
83,Uttar Pradesh,5,16,2,1,116176,Rural,2021,488.62
84,Punjab,2,21,2,1,142826,Rural,2021,449.12
85,West Bengal,4,24,0,1,117011,Urban,2023,339.99
86,Karnataka,7,7,0,0,121712,Urban,2017,298.87
87,Delhi,3,13,1,0,79318,Urban,2016,353.91
88,Maharashtra,8,9,2,0,49932,Urban,2015,606.21
89,Gujarat,9,24,2,0,99908,Urban,2022,815.85
90,Tamil Nadu,4,20,1,0,140589,Rural,2021,452.85
91,Punjab,4,12,0,0,129977,Urban,2023,301.14
92,Gujarat,7,25,2,0,69396,Rural,2016,816.75
93,Tamil Nadu,9,20,1,0,113466,Urban,2023,670.35
94,Delhi,6,23,0,0,111452,Urban,2022,469.86
95,Delhi,4,20,1,0,113104,Rural,2018,518.28
96,Delhi,8,22,1,0,62630,Urban,2018,689.48
97,Tamil Nadu,5,19,0,0,147635,Rural,2018,327.35
98,Gujarat,4,28,2,0,52058,Urban,2019,814.95
99,Delhi,5,22,0,0,82334,Rural,2015,318.5
100,Uttar Pradesh,2,18,2,1,127976,Urban,2019,472.52
101,West Bengal,9,28,0,0,70571,Rural,2023,580.53
102,Tamil Nadu,6,20,2,0,130440,Urban,2023,795.3
103,Tamil Nadu,5,9,2,0,36997,Rural,2023,539.35
104,Gujarat,4,12,1,1,83852,Rural,2017,225.43
105,Tamil Nadu,6,20,1,0,75619,Rural,2015,583.48
106,Tamil Nadu,8,25,2,0,144336,Urban,2016,850.22
107,Delhi,6,5,0,0,17412,Rural,2021,199.55
108,Gujarat,5,15,2,0,52810,Rural,2019,602.27
109,Delhi,9,15,0,1,35221,Urban,2016,363.93
110,West Bengal,5,6,2,0,139662,Urban,2021,558.54
111,Punjab,3,26,0,0,148083,Urban,2022,365.25
112,West Bengal,3,23,1,0,62147,Urban,2016,495.11
113,Punjab,6,28,0,0,70360,Rural,2022,508.03
114,Delhi,7,9,1,0,26441,Rural,2015,411.52
115,West Bengal,9,7,0,0,65147,Urban,2023,428.57
116,Gujarat,7,27,1,0,135154,Urban,2023,665.0
117,Maharashtra,3,12,0,1,134877,Urban,2018,127.61
118,Delhi,4,8,2,0,16477,Urban,2023,530.55
119,Punjab,2,17,0,0,149958,Urban,2019,267.12
120,Uttar Pradesh,6,29,1,0,40565,Urban,2015,632.44
121,Punjab,2,26,1,0,22250,Rural,2022,448.23
122,Uttar Pradesh,3,18,0,0,60341,Urban,2018,347.65
123,Tamil Nadu,5,5,2,0,62975,Rural,2020,503.49
124,West Bengal,8,9,0,0,88160,Rural,2015,293.52
125,Uttar Pradesh,6,25,0,0,82194,Urban,2015,410.09
126,Punjab,3,11,1,0,109625,Rural,2023,376.14
127,Tamil Nadu,9,27,2,0,24453,Urban,2019,878.49
128,Maharashtra,4,10,2,0,39921,Rural,2021,519.8
129,Gujarat,8,19,2,0,84997,Urban,2020,855.7
130,Gujarat,6,19,2,0,101372,Urban,2017,731.57
131,Gujarat,6,12,0,0,38714,Urban,2020,325.44
132,Uttar Pradesh,9,6,2,0,117977,Rural,2015,636.72
133,Maharashtra,7,18,2,0,94884,Rural,2019,662.23
134,Uttar Pradesh,5,20,2,0,147360,Urban,2017,749.89
135,West Bengal,6,27,1,0,94764,Urban,2019,673.66
136,Uttar Pradesh,5,14,1,0,132203,Rural,2017,420.56
137,Maharashtra,3,19,1,0,107996,Rural,2017,466.88
138,Maharashtra,4,27,2,0,93740,Rural,2017,704.27
139,West Bengal,8,8,0,0,53716,Rural,2017,332.28
140,Maharashtra,8,16,0,0,35935,Urban,2019,447.2
141,Punjab,4,14,1,0,99569,Rural,2021,414.37
142,Maharashtra,6,6,1,0,32572,Urban,2021,468.41
143,Gujarat,6,8,2,0,20160,Rural,2018,520.55
144,Punjab,3,24,1,0,86116,Urban,2016,600.33
145,Punjab,7,10,1,1,134715,Urban,2022,401.63
146,West Bengal,7,18,1,0,19595,Urban,2021,568.24
147,Karnataka,7,27,1,0,106633,Rural,2023,599.92
148,Karnataka,5,7,0,0,59767,Urban,2021,250.02
149,Maharashtra,7,19,2,0,75933,Rural,2019,737.57
150,Punjab,4,5,0,0,67038,Urban,2023,218.73
151,Karnataka,8,23,1,0,132344,Urban,2022,652.58
152,Karnataka,8,29,2,0,143079,Rural,2018,860.65
153,Maharashtra,5,5,2,0,70550,Rural,2019,489.42
154,Karnataka,3,17,0,0,70118,Rural,2018,243.31
155,Uttar Pradesh,4,12,0,0,92013,Urban,2023,234.18
156,Tamil Nadu,8,22,1,1,36104,Urban,2021,525.51
157,West Bengal,4,26,0,0,139607,Rural,2019,365.64
158,Tamil Nadu,8,7,1,0,138441,Rural,2015,407.61
159,Maharashtra,2,27,1,0,38580,Urban,2020,602.15
160,Gujarat,3,22,1,0,45067,Urban,2016,534.83
161,West Bengal,3,24,2,0,107479,Urban,2019,667.11
162,Maharashtra,9,13,2,0,86818,Rural,2023,740.76
163,Punjab,2,10,0,0,31136,Urban,2023,189.38
164,Gujarat,5,24,0,0,129586,Rural,2023,502.74
165,Tamil Nadu,8,6,2,0,31880,Urban,2016,703.64
166,Maharashtra,9,29,0,0,37025,Urban,2018,655.63
167,Punjab,8,8,1,0,147748,Urban,2023,558.53
168,West Bengal,8,29,1,0,128716,Urban,2021,651.67
169,West Bengal,7,22,2,0,18162,Urban,2019,771.84
170,Delhi,7,11,0,0,53566,Urban,2016,283.58
171,Punjab,7,15,0,1,143227,Rural,2023,282.33
172,Uttar Pradesh,7,9,2,0,83314,Urban,2016,654.73
173,Karnataka,7,12,1,0,92357,Urban,2021,596.81
174,Gujarat,2,15,1,0,67766,Urban,2023,455.53
175,Punjab,3,28,0,0,139373,Rural,2018,328.3
176,Delhi,5,24,2,0,129762,Rural,2023,594.35
177,Karnataka,4,24,2,0,113072,Urban,2022,690.91
178,Karnataka,7,19,1,0,64539,Urban,2021,556.14
179,Maharashtra,2,28,1,0,49273,Urban,2022,529.86
180,Karnataka,9,7,0,0,126131,Urban,2018,356.56
181,Uttar Pradesh,9,11,2,0,27289,Urban,2021,774.9
182,West Bengal,8,28,0,0,57154,Urban,2017,623.2
183,Delhi,5,12,0,1,30833,Urban,2019,180.04
184,Karnataka,9,15,2,1,102572,Urban,2016,803.35
185,Maharashtra,5,14,2,0,62888,Urban,2022,625.5
186,Uttar Pradesh,5,24,1,0,136893,Urban,2016,549.43
187,Tamil Nadu,2,13,2,0,19220,Rural,2021,558.88
188,West Bengal,4,19,0,0,35523,Urban,2022,431.62
189,West Bengal,7,24,0,0,123267,Urban,2020,505.42
190,Delhi,5,28,2,0,25404,Urban,2018,835.17
191,West Bengal,2,26,0,0,43005,Urban,2018,339.41
192,Karnataka,8,9,2,0,44382,Rural,2020,607.97
193,Maharashtra,3,19,1,0,26482,Urban,2022,500.6
194,West Bengal,8,8,1,0,48433,Urban,2023,519.79
195,West Bengal,2,9,2,0,21327,Urban,2020,460.36
196,Tamil Nadu,2,19,0,0,73666,Urban,2017,309.3
197,Tamil Nadu,2,21,2,0,93400,Urban,2018,624.11
198,Gujarat,5,27,2,1,120121,Urban,2019,660.61
199,Uttar Pradesh,2,12,1,0,132044,Urban,2017,419.03
200,Karnataka,3,29,2,0,77428,Rural,2019,760.24
201,West Bengal,5,23,1,0,127085,Rural,2022,478.91
202,Punjab,8,13,1,0,94922,Rural,2018,564.35
203,West Bengal,3,14,2,0,125867,Urban,2021,696.35
204,Maharashtra,9,9,2,1,125521,Urban,2015,524.79
205,Gujarat,6,14,2,0,89587,Urban,2021,708.05
206,Uttar Pradesh,8,26,2,0,84164,Urban,2015,869.57
207,Punjab,2,5,1,0,73747,Rural,2016,254.55
208,Gujarat,7,29,2,0,123658,Urban,2015,797.0
209,Delhi,7,29,1,1,62124,Rural,2017,575.97
210,Uttar Pradesh,5,26,1,0,149414,Urban,2022,650.32
211,West Bengal,7,28,0,1,149025,Urban,2022,428.85
212,West Bengal,8,8,1,0,103529,Urban,2021,521.78
213,Uttar Pradesh,5,25,0,0,148093,Urban,2021,350.39
214,West Bengal,8,9,2,0,75154,Rural,2019,657.94
215,Karnataka,2,27,0,0,116811,Urban,2023,337.38
216,Uttar Pradesh,4,11,2,0,131125,Urban,2015,570.65
217,Gujarat,4,27,1,0,28186,Urban,2018,544.02
218,Uttar Pradesh,3,9,0,0,120600,Urban,2020,205.45
219,Punjab,2,24,2,0,44941,Rural,2018,638.63
220,West Bengal,7,12,2,0,64968,Rural,2016,567.49
221,Karnataka,2,21,0,0,30776,Rural,2016,263.92
222,Karnataka,6,5,0,0,135996,Rural,2016,206.56
223,Delhi,4,26,2,0,40778,Urban,2021,793.07
224,Gujarat,7,22,2,1,35533,Rural,2019,623.01
225,Tamil Nadu,8,16,1,0,110277,Urban,2016,538.41
226,Tamil Nadu,8,7,2,0,55113,Urban,2023,661.21
227,Uttar Pradesh,4,24,0,0,124062,Rural,2016,287.08
228,Delhi,2,18,2,0,143127,Urban,2021,619.76
229,Maharashtra,7,20,2,0,17059,Urban,2015,672.33
230,Uttar Pradesh,3,22,0,0,29885,Urban,2020,364.02
231,Delhi,8,14,1,0,58870,Urban,2020,618.45
232,Gujarat,2,27,2,0,69759,Rural,2019,596.6
233,Gujarat,3,19,0,0,39212,Urban,2021,406.8
234,Gujarat,9,14,0,0,43054,Urban,2022,462.08
235,Gujarat,7,5,0,0,91715,Rural,2016,171.63
236,Gujarat,4,23,0,1,106156,Rural,2017,219.87
237,Delhi,9,6,1,0,101888,Urban,2022,593.97
238,Delhi,6,17,0,1,47603,Rural,2019,256.33
239,Karnataka,9,29,2,1,64894,Urban,2020,659.69
240,Punjab,5,20,1,0,139152,Urban,2018,605.49
