date,location,hour,weekday,is_weekend,occasion,temperature,rain_chance,metro_available,is_holiday,ride_demand
2023-09-21,Ameerpet,10,3,False,Regular Day,30.2,0,1,False,0.36
2019-09-27,Ameerpet,23,4,False,Regular Day,32.4,0,1,False,0.23
2021-09-30,Madhapur,11,3,False,Regular Day,27.3,0,0,False,0.35
2024-12-24,Ameerpet,5,1,False,Regular Day,35.1,0,1,False,0.38
2024-11-03,Secunderabad,23,6,True,Regular Day,24.5,0,1,True,0.45
2020-12-19,Secunderabad,5,5,True,Regular Day,20.7,0,1,True,0.7
2024-10-24,Secunderabad,13,3,False,Regular Day,22.2,0,1,False,0.3
2024-10-08,Gachibowli,18,1,False,Regular Day,30.5,0,1,False,0.67
2023-10-01,Madhapur,7,6,True,Regular Day,25.5,0,1,True,0.86
2020-02-05,Kukatpally,22,2,False,Regular Day,28.1,0,1,False,0.12
2021-02-12,Hitech City,10,4,False,Regular Day,34.3,1,1,False,0.64
2020-08-11,Gachibowli,9,1,False,Regular Day,32.2,0,1,False,0.22
2022-11-15,Ameerpet,20,1,False,Regular Day,35.1,1,1,False,0.45
2023-08-10,Secunderabad,7,3,False,Regular Day,32.8,0,1,False,0.28
2023-06-13,Banjara Hills,15,1,False,Regular Day,30.8,0,1,False,0.32
2024-08-12,Secunderabad,18,0,False,Regular Day,28.5,1,1,False,0.54
2020-03-14,Secunderabad,18,5,True,Regular Day,26.5,0,0,True,0.9
2022-03-02,Hitech City,20,2,False,Regular Day,31.9,0,1,False,0.45
2023-12-08,Madhapur,21,4,False,Regular Day,27.5,0,1,False,0.26
2023-04-08,Secunderabad,5,5,True,Regular Day,26.9,0,1,True,0.46
2019-12-02,Gachibowli,22,0,False,Regular Day,27.2,0,0,False,0.24
2024-09-15,Secunderabad,7,6,True,Regular Day,34.1,1,1,True,0.87
2023-04-19,Banjara Hills,7,2,False,Regular Day,28.7,0,1,False,0.2
2020-07-09,Secunderabad,6,3,False,Regular Day,34.3,0,1,False,0.23
2023-01-21,Hitech City,12,5,True,Regular Day,28.3,0,1,True,0.52
2022-08-24,Kukatpally,6,2,False,Regular Day,23.2,0,1,False,0.14
2024-12-13,Gachibowli,20,4,False,Regular Day,36.9,0,1,False,0.34
2019-01-22,Gachibowli,8,1,False,Regular Day,30.2,0,0,False,0.32
2020-08-12,Ameerpet,20,2,False,Regular Day,26.1,0,1,False,0.32
2020-10-12,Secunderabad,6,0,False,Regular Day,32.8,1,1,False,0.6
2022-01-07,Ameerpet,18,4,False,Regular Day,28.7,0,1,False,0.35
2024-02-26,Hitech City,19,0,False,Regular Day,26.9,0,1,False,0.32
2020-05-28,Secunderabad,9,3,False,Regular Day,24.4,0,1,False,0.53
2022-02-24,Secunderabad,13,3,False,Regular Day,34.9,1,1,False,0.32
2023-03-10,Ameerpet,18,4,False,Regular Day,25.3,0,1,False,0.49
2019-07-14,Madhapur,19,6,True,Regular Day,31.5,0,1,True,0.78
2020-08-29,Gachibowli,11,5,True,Regular Day,32.8,0,1,True,0.62
2024-12-31,Gachibowli,6,1,False,New Year,26.7,0,1,True,0.69
2024-07-20,Gachibowli,18,5,True,Regular Day,23.7,0,1,True,0.71
2019-09-04,Madhapur,16,2,False,Regular Day,32.7,0,1,False,0.23
2019-01-15,Secunderabad,23,1,False,Makar Sankranti,22.8,1,0,True,0.76
2024-04-23,Madhapur,23,1,False,Regular Day,28.2,0,0,False,0.28
2021-04-19,Madhapur,10,0,False,Regular Day,24.6,0,1,False,0.43
2020-04-04,Madhapur,18,5,True,Regular Day,42.2,0,1,True,0.86
2020-05-23,Ameerpet,7,5,True,Regular Day,26.6,0,1,True,0.81
2023-04-29,Gachibowli,11,5,True,Regular Day,26.1,0,0,True,0.68
